datetime,parking,pourcentage
2023-06-20T16:55:00,CLEMENCEAU,50
2023-06-20T16:55:00,CONDORCET,68
2023-06-20T16:55:00,DARCY,-2
2023-06-20T16:55:00,DAUPHINE,100
2023-06-20T16:55:00,GRANGIER,75
2023-06-20T16:55:00,MALRAUX,46
2023-06-20T16:55:00,MONGE,39
2023-06-20T16:55:00,SAINTE-ANNE,76
2023-06-20T16:55:00,TIVOLI,92
2023-06-20T16:55:00,TREMOUILLE,69
2023-06-20T16:55:42,CLEMENCEAU,50
2023-06-20T16:55:42,CONDORCET,68
2023-06-20T16:55:42,DARCY,-2
2023-06-20T16:55:42,DAUPHINE,100
2023-06-20T16:55:42,GRANGIER,75
2023-06-20T16:55:42,MALRAUX,46
2023-06-20T16:55:42,MONGE,39
2023-06-20T16:55:42,SAINTE-ANNE,77
2023-06-20T16:55:42,TIVOLI,91
2023-06-20T16:55:42,TREMOUILLE,69
2023-06-20T17:15:48,CLEMENCEAU,51
2023-06-20T17:15:48,CONDORCET,74
2023-06-20T17:15:48,DARCY,-4
2023-06-20T17:15:48,DAUPHINE,100
2023-06-20T17:15:48,GRANGIER,71
2023-06-20T17:15:48,MALRAUX,46
2023-06-20T17:15:48,MONGE,38
2023-06-20T17:15:48,SAINTE-ANNE,76
2023-06-20T17:15:48,TIVOLI,91
2023-06-20T17:15:48,TREMOUILLE,70
2023-06-20T17:43:22,CLEMENCEAU,51
2023-06-20T17:43:22,CONDORCET,88
2023-06-20T17:43:22,DARCY,-6
2023-06-20T17:43:22,DAUPHINE,100
2023-06-20T17:43:22,GRANGIER,71
2023-06-20T17:43:22,MALRAUX,46
2023-06-20T17:43:22,MONGE,39
2023-06-20T17:43:22,SAINTE-ANNE,79
2023-06-20T17:43:22,TIVOLI,91
2023-06-20T17:43:22,TREMOUILLE,70
2023-06-20T18:16:43,CLEMENCEAU,51
2023-06-20T18:16:43,CONDORCET,99
2023-06-20T18:16:43,DARCY,-7
2023-06-20T18:16:43,DAUPHINE,100
2023-06-20T18:16:43,GRANGIER,71
2023-06-20T18:16:43,MALRAUX,46
2023-06-20T18:16:43,MONGE,41
2023-06-20T18:16:43,SAINTE-ANNE,81
2023-06-20T18:16:43,TIVOLI,91
2023-06-20T18:16:43,TREMOUILLE,71
2023-06-20T18:43:15,CLEMENCEAU,51
2023-06-20T18:43:15,CONDORCET,98
